Clave,Descripcion,Marca,UnidadMedida,Linea,Division,Largo,Ancho,Precio,Descuento,Alta,Modificacion,Responsable,FraccionArancelaria
PY93,"POLYFOAM LINER L/A 1/C D-8 .125"" DE 1.20 X 95 MTS.",POLYFOAM LINER,PZ,RO,1,95,1.2,4307,0.14,2010-08-23,2011-03-02,ENRIQUEE,NULL
IP143,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 2"" DE 1.22 X 5.20 MTS  S/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,5.2,1.22,613.69,0,2014-05-30,2014-05-30,MIREYAS,39211101
PH75,"POLYFOAM SHEET 3.3 PCF .500"" X 47"" X 108"" BLACK",POLYFOAM HOJA,PZ,NULL,2,108,47,9.81,0,2015-12-03,2015-12-03,MIREYAS,39211901
OT16,INTERESES CORRESPONDIENTES AL EJERCICIO 2015,OTROS,PZ,NULL,6,0,0,860266.34,0,2015-12-31,2015-12-31,MIREYAS,NULL
PL450,"POLYLAM 1.2 PCF A/S 3"" X 48"" X 108""",POLYLAM,PZ,PL,2,108,48,457.75,0,2014-03-31,2014-03-31,MIREYAS,39211901
IP116,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS  2"" DE 1.22 X 10.10 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,10.1,1.22,1210.76,0.2,2012-02-27,2012-02-27,MIREYAS,39211101
PM92,"POLYLAM MDL 1.5"" D-4.5 .250"" AZUL+D-2.2 1"" BCA+D-4.5 .250"" AMARILLO DE 1.20 X 2.75 MTS.",POLYLAM MDL,PZ,PL,2,2.75,1.2,650,0.1,2012-05-04,2012-05-04,MIREYAS,39211901
PL335,"POLYLAM 3"" D-1.2 1"" DE 1.27 X 2.82 MTS. BLANCO",POLYLAM,PZ,PL,2,2.82,1.27,118.18,0,2012-07-24,2012-07-24,MIREYAS,39211901
PM97,"POLYLAM MDL 3.250"", 2"" D-1.2 .500"" VERDE+(2) D-6 .125"" BCO+1"" D-1.2 .500"" VERDE DE 1.27 X 2.80 MTS.",POLYLAM MDL,PZ,PL,2,2.8,1.27,420.32,0,2012-09-03,2014-03-25,MIREYAS,39211901
PR162,"POLYROLL 1/16""  DE .66 X 210 MTS.",POLYROLL,PZ,RO,1,2.1,0.66,218.67,0,2012-08-08,2017-01-20,BELENL,39211901
IP178,"INSUFOAM PLUS 2"" X 1.22 X 4.70 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,NULL,2,4.7,1.22,636.47,0,2015-05-19,2015-05-19,MIREYAS,39211101
PL491,"POLYLAM 1.2 PCF, 1.5"" X 48"" X 110"" WHITE",POLYLAM,PZ,PL,2,110,48,15.36,0,2014-09-03,2014-09-03,BELENL,39211901
PL519,"POLYLAM 1.2 PCF, 1"", .750"" X 48"" X 108"" WHITE SKIVED W/SKIN",POLYLAM,PZ,NULL,2,108,48,139.96,0,2015-05-29,2015-05-29,MIREYAS,39211901
IP151,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS, 3"" X 24"" X 96"" S/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,96,24,146,0,2014-10-17,2015-04-30,MIREYAS,39211101
PL268,"POLYLAM 6"" D-1.7 DE 1.27 X 3.06 MTS. BLANCO",POLYLAM,PZ,PL,2,3.06,1.27,79.35,0,2011-08-05,2011-08-05,ALEJANDRA,39211901
PY159,"POLYFOAM LINER D-8 .125""  DE .062 X 100 MTS.",POLYFOAM LINER,PZ,RO,1,100,0.062,213.26,0,2012-05-17,2012-05-17,MIREYAS,NULL
PY172,"POLYFOAM LINER D-7 .075"" DE .058 X 100 MTS.",POLYFOAM LINER,PZ,RO,1,100,0.058,111.99,0,2012-05-22,2012-05-22,MIREYAS,NULL
PY162,"POLYFOAM LINER D-6.5 .075"" DE .068 X 100 MTS.",POLYFOAM LINER,PZ,RO,1,100,0.068,114.71,0,2012-05-17,2012-05-17,MIREYAS,NULL
PL276,"POLYLAM .500"" D-4.2 4.5"" DE 1.20 X 2.75 MTS. BLANCO",POLYLAM,PZ,PL,2,2.6,1.22,151,0,2011-08-26,2011-08-26,ALEJANDRA,39211901
IP110,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 2"" DE 1.22 X 8.75 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,8.75,1.22,1048.93,0.2,2012-02-27,2012-02-27,MIREYAS,39211101
IP118,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 2"" DE 1.22 X 10.50 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,10.5,1.22,1258.71,0.2,2012-02-27,2012-02-27,MIREYAS,39211101
PY154,"POLYFOAM LINER D-7 .075""  DE .094 X 100 MTS.",POLYFOAM LINER,PZ,RO,1,100,0.094,183.98,0,2012-05-17,2012-05-17,MIREYAS,NULL
PM135,"POLYLAM MDL 1.2PCF 2""GREEN+6PCF.125""WHITE,2.125""X49""X102""",POLYLAM MDL,PZ,PL,2,102,49,26.6,0,2014-09-17,2014-09-17,MIREYAS,39211901
PL499,"POLYLAM 2.2 PCF, 2"" X 48"" X 110"" WHITE",POLYLAM,PZ,PL,2,110,48,35,0,2014-10-09,2014-10-09,MIREYAS,39211901
IK53,"POLIESTIRENO EXTRUIDO INSUFOAM 4000, 2"" X 1.22 X 2.44 MTS NARANJA S/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,IN,2,2.44,1.22,266,0,2014-10-23,2014-10-23,MIREYAS,39211101
PP35,CORNER L X 2 MTS WHITE,POLYPROFILE,PZ,NULL,1,2,0,12,0,2016-08-16,2019-04-24,MIREYAS,39211901
PL508,"POLYLAM 3.3 PCF, 1.5"" X 47"" X 110"" WHITE",POLYLAM,PZ,NULL,2,110,47,557,0,2015-01-12,2015-01-12,MIREYAS,39211901
IP166,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS, 1"" X 1.22 X 7.85 MTS C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,NULL,2,7.85,1.22,526.9,0,2015-01-26,2015-01-26,MIREYAS,39211101
PR207,"POLYROLL 1/8"" X 16"" X 344´ WHITE PERF 15""",POLYROLL,PZ,NULL,1,344,16,16.19,0,2015-03-24,2017-01-20,BELENL,39211901
IP170,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 1"" X 1.22 X 7.15 MTS S/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,NULL,2,7.15,1.22,455.78,0,2015-03-27,2015-03-27,MIREYAS,39211101
IK70,"POLIESTIRENO EXTRUIDO INSUFOAM 4000 1"" 48"" X 220.47"" C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,NULL,2,220.47,48,28.4,0,2015-04-01,2015-04-01,MIREYAS,39211101
PL446,"POLYLAM 1.2 PCF AS 1""  X 48"" X 108""",POLYLAM,PZ,PL,2,108,48,139.97,0,2014-03-31,2014-04-08,MIREYAS,39211901
PL451,"POLYLAM 1.2 PCF A/S 3.5"" X 48"" X 108""",POLYLAM,PZ,PL,2,108,48,592.53,0,2014-03-31,2014-07-07,MIREYAS,39211901
